cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,0.52982688,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,0.429615056,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,0.480939305,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,0.795419083,mg/L,Widmayer 2022,Growth
115093,Methylmercury chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,0.736899858,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,6.683327973,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,7.824608852,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,8.422754487,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,6.892834846,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,6.394828732,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,8.318431439,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,11.42278526,mg/L,Widmayer 2022,Growth
7718549,Nickel chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,13.8340093,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,9.044958895,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,5.473853379,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,10.10962757,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,5.756094289,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,9.087771114,mg/L,Widmayer 2022,Growth
